1,3,A/5 21171,7.25,
2,1,PC 17599,71.2833,C85
3,3,STON/O2. 3101282,7.925,
4,1,113803,53.1,C123
5,3,373450,8.05,
6,3,330877,8.4583,
7,1,17463,51.8625,E46
8,3,349909,21.075,
9,3,347742,11.1333,
10,2,237736,30.0708,
11,3,PP 9549,16.7,G6
12,1,113783,26.55,C103
13,3,A/5. 2151,8.05,
14,3,347082,31.275,
15,3,350406,7.8542,
16,2,248706,16.0,
17,3,382652,29.125,
18,2,244373,13.0,
19,3,345763,18.0,
20,3,2649,7.225,
21,2,239865,26.0,
22,2,248698,13.0,D56
23,3,330923,8.0292,
24,1,113788,35.5,A6
25,3,349909,21.075,
26,3,347077,31.3875,
27,3,2631,7.225,
28,1,19950,263.0,C23 C25 C27
29,3,330959,7.8792,
30,3,349216,7.8958,
31,1,PC 17601,27.7208,
32,1,PC 17569,146.5208,B78
33,3,335677,7.75,
34,2,C.A. 24579,10.5,
35,1,PC 17604,82.1708,
36,1,113789,52.0,
37,3,2677,7.2292,
38,3,A./5. 2152,8.05,
39,3,345764,18.0,
40,3,2651,11.2417,
41,3,7546,9.475,
42,2,11668,21.0,
43,3,349253,7.8958,
44,2,SC/Paris 2123,41.5792,
45,3,330958,7.8792,
46,3,S.C./A.4. 23567,8.05,
47,3,370371,15.5,
48,3,14311,7.75,
49,3,2662,21.6792,
50,3,349237,17.8,
51,3,3101295,39.6875,
52,3,A/4. 39886,7.8,
53,1,PC 17572,76.7292,D33
54,2,2926,26.0,
55,1,113509,61.9792,B30
56,1,19947,35.5,C52
57,2,C.A. 31026,10.5,
58,3,2697,7.2292,
59,2,C.A. 34651,27.75,
60,3,CA 2144,46.9,
61,3,2669,7.2292,
62,1,113572,80.0,B28
63,1,36973,83.475,C83
64,3,347088,27.9,
65,1,PC 17605,27.7208,
66,3,2661,15.2458,
67,2,C.A. 29395,10.5,F33
68,3,S.P. 3464,8.1583,
69,3,3101281,7.925,
70,3,315151,8.6625,
71,2,C.A. 33111,10.5,
72,3,CA 2144,46.9,
73,2,S.O.C. 14879,73.5,
74,3,2680,14.4542,
75,3,1601,56.4958,
76,3,348123,7.65,F G73
77,3,349208,7.8958,
78,3,374746,8.05,
79,2,248738,29.0,
80,3,364516,12.475,
81,3,345767,9.0,
82,3,345779,9.5,
83,3,330932,7.7875,
84,1,113059,47.1,
85,2,SO/C 14885,10.5,
86,3,3101278,15.85,
87,3,W./C. 6608,34.375,
88,3,SOTON/OQ 392086,8.05,
89,1,19950,263.0,C23 C25 C27
90,3,343275,8.05,
91,3,343276,8.05,
92,3,347466,7.8542,
93,1,W.E.P. 5734,61.175,E31
94,3,C.A. 2315,20.575,
95,3,364500,7.25,
96,3,374910,8.05,
97,1,PC 17754,34.6542,A5
98,1,PC 17759,63.3583,D10 D12
99,2,231919,23.0,
100,2,244367,26.0,
101,3,349245,7.8958,
102,3,349215,7.8958,
103,1,35281,77.2875,D26
104,3,7540,8.6542,
105,3,3101276,7.925,
106,3,349207,7.8958,
107,3,343120,7.65,
108,3,312991,7.775,
109,3,349249,7.8958,
110,3,371110,24.15,
111,1,110465,52.0,C110
112,3,2665,14.4542,
113,3,324669,8.05,
114,3,4136,9.825,
115,3,2627,14.4583,
116,3,STON/O 2. 3101294,7.925,
117,3,370369,7.75,
118,2,11668,21.0,
119,1,PC 17558,247.5208,B58 B60
120,3,347082,31.275,
121,2,S.O.C. 14879,73.5,
122,3,A4. 54510,8.05,
123,2,237736,30.0708,
124,2,27267,13.0,E101
125,1,35281,77.2875,D26
126,3,2651,11.2417,
127,3,370372,7.75,
128,3,C 17369,7.1417,
129,3,2668,22.3583,F E69
130,3,347061,6.975,
131,3,349241,7.8958,
132,3,SOTON/O.Q. 3101307,7.05,
133,3,A/5. 3337,14.5,
134,2,228414,26.0,
135,2,C.A. 29178,13.0,
136,2,SC/PARIS 2133,15.0458,
137,1,11752,26.2833,D47
138,1,113803,53.1,C123
139,3,7534,9.2167,
140,1,PC 17593,79.2,B86
141,3,2678,15.2458,
142,3,347081,7.75,
143,3,STON/O2. 3101279,15.85,
144,3,365222,6.75,
145,2,231945,11.5,
146,2,C.A. 33112,36.75,
147,3,350043,7.7958,
148,3,W./C. 6608,34.375,
149,2,230080,26.0,F2
150,2,244310,13.0,
151,2,S.O.P. 1166,12.525,
152,1,113776,66.6,C2
153,3,A.5. 11206,8.05,
154,3,A/5. 851,14.5,
155,3,Fa 265302,7.3125,
156,1,PC 17597,61.3792,
157,3,35851,7.7333,
158,3,SOTON/OQ 392090,8.05,
159,3,315037,8.6625,
160,3,CA. 2343,69.55,
161,3,371362,16.1,
162,2,C.A. 33595,15.75,
163,3,347068,7.775,
164,3,315093,8.6625,
165,3,3101295,39.6875,
166,3,363291,20.525,
167,1,113505,55.0,E33
168,3,347088,27.9,
169,1,PC 17318,25.925,
170,3,1601,56.4958,
171,1,111240,33.5,B19
172,3,382652,29.125,
173,3,347742,11.1333,
174,3,STON/O 2. 3101280,7.925,
175,1,17764,30.6958,A7
176,3,350404,7.8542,
177,3,4133,25.4667,
178,1,PC 17595,28.7125,C49
179,2,250653,13.0,
180,3,LINE,0.0,
181,3,CA. 2343,69.55,
182,2,SC/PARIS 2131,15.05,
183,3,347077,31.3875,
184,2,230136,39.0,F4
185,3,315153,22.025,
186,1,113767,50.0,A32
187,3,370365,15.5,
188,1,111428,26.55,
189,3,364849,15.5,
190,3,349247,7.8958,
191,2,234604,13.0,
192,2,28424,13.0,
193,3,350046,7.8542,
194,2,230080,26.0,F2
195,1,PC 17610,27.7208,B4
196,1,PC 17569,146.5208,B80
197,3,368703,7.75,
198,3,4579,8.4042,
199,3,370370,7.75,
200,2,248747,13.0,
201,3,345770,9.5,
202,3,CA. 2343,69.55,
203,3,3101264,6.4958,
204,3,2628,7.225,
205,3,A/5 3540,8.05,
206,3,347054,10.4625,G6
207,3,3101278,15.85,
208,3,2699,18.7875,
209,3,367231,7.75,
210,1,112277,31.0,A31
211,3,SOTON/O.Q. 3101311,7.05,
212,2,F.C.C. 13528,21.0,
213,3,A/5 21174,7.25,
214,2,250646,13.0,
215,3,367229,7.75,
216,1,35273,113.275,D36
217,3,STON/O2. 3101283,7.925,
218,2,243847,27.0,
219,1,11813,76.2917,D15
220,2,W/C 14208,10.5,
221,3,SOTON/OQ 392089,8.05,
222,2,220367,13.0,
223,3,21440,8.05,
224,3,349234,7.8958,
225,1,19943,90.0,C93
226,3,PP 4348,9.35,
227,2,SW/PP 751,10.5,
228,3,A/5 21173,7.25,
229,2,236171,13.0,
230,3,4133,25.4667,
231,1,36973,83.475,C83
232,3,347067,7.775,
233,2,237442,13.5,
234,3,347077,31.3875,
235,2,C.A. 29566,10.5,
236,3,W./C. 6609,7.55,
237,2,26707,26.0,
238,2,C.A. 31921,26.25,
239,2,28665,10.5,
240,2,SCO/W 1585,12.275,
241,3,2665,14.4542,
242,3,367230,15.5,
243,2,W./C. 14263,10.5,
244,3,STON/O 2. 3101275,7.125,
245,3,2694,7.225,
246,1,19928,90.0,C78
247,3,347071,7.775,
248,2,250649,14.5,
249,1,11751,52.5542,D35
250,2,244252,26.0,
251,3,362316,7.25,
252,3,347054,10.4625,G6
253,1,113514,26.55,C87
254,3,A/5. 3336,16.1,
255,3,370129,20.2125,
256,3,2650,15.2458,
257,1,PC 17585,79.2,
258,1,110152,86.5,B77
259,1,PC 17755,512.3292,
260,2,230433,26.0,
261,3,384461,7.75,
262,3,347077,31.3875,
263,1,110413,79.65,E67
264,1,112059,0.0,B94
265,3,382649,7.75,
266,2,C.A. 17248,10.5,
267,3,3101295,39.6875,
268,3,347083,7.775,
269,1,PC 17582,153.4625,C125
270,1,PC 17760,135.6333,C99
271,1,113798,31.0,
272,3,LINE,0.0,
273,2,250644,19.5,
274,1,PC 17596,29.7,C118
275,3,370375,7.75,
276,1,13502,77.9583,D7
277,3,347073,7.75,
278,2,239853,0.0,
279,3,382652,29.125,
280,3,C.A. 2673,20.25,
281,3,336439,7.75,
282,3,347464,7.8542,
283,3,345778,9.5,
284,3,A/5. 10482,8.05,
285,1,113056,26.0,A19
286,3,349239,8.6625,
287,3,345774,9.5,
288,3,349206,7.8958,
289,2,237798,13.0,
290,3,370373,7.75,
291,1,19877,78.85,
292,1,11967,91.0792,B49
293,2,SC/Paris 2163,12.875,D
294,3,349236,8.85,
295,3,349233,7.8958,
296,1,PC 17612,27.7208,
297,3,2693,7.2292,
298,1,113781,151.55,C22 C26
299,1,19988,30.5,C106
300,1,PC 17558,247.5208,B58 B60
301,3,9234,7.75,
302,3,367226,23.25,
303,3,LINE,0.0,
304,2,226593,12.35,E101
305,3,A/5 2466,8.05,
306,1,113781,151.55,C22 C26
307,1,17421,110.8833,
308,1,PC 17758,108.9,C65
309,2,P/PP 3381,24.0,
310,1,PC 17485,56.9292,E36
311,1,11767,83.1583,C54
312,1,PC 17608,262.375,B57 B59 B63 B66
313,2,250651,26.0,
314,3,349243,7.8958,
315,2,F.C.C. 13529,26.25,
316,3,347470,7.8542,
317,2,244367,26.0,
318,2,29011,14.0,
319,1,36928,164.8667,C7
320,1,16966,134.5,E34
321,3,A/5 21172,7.25,
322,3,349219,7.8958,
323,2,234818,12.35,
324,2,248738,29.0,
325,3,CA. 2343,69.55,
326,1,PC 17760,135.6333,C32
327,3,345364,6.2375,
328,2,28551,13.0,D
329,3,363291,20.525,
330,1,111361,57.9792,B18
331,3,367226,23.25,
332,1,113043,28.5,C124
333,1,PC 17582,153.4625,C91
334,3,345764,18.0,
335,1,PC 17611,133.65,
336,3,349225,7.8958,
337,1,113776,66.6,C2
338,1,16966,134.5,E40
339,3,7598,8.05,
340,1,113784,35.5,T
341,2,230080,26.0,F2
342,1,19950,263.0,C23 C25 C27
343,2,248740,13.0,
344,2,244361,13.0,
345,2,229236,13.0,
346,2,248733,13.0,F33
347,2,31418,13.0,
348,3,386525,16.1,
349,3,C.A. 37671,15.9,
350,3,315088,8.6625,
351,3,7267,9.225,
352,1,113510,35.0,C128
353,3,2695,7.2292,
354,3,349237,17.8,
355,3,2647,7.225,
356,3,345783,9.5,
357,1,113505,55.0,E33
358,2,237671,13.0,
359,3,330931,7.8792,
360,3,330980,7.8792,
361,3,347088,27.9,
362,2,SC/PARIS 2167,27.7208,
363,3,2691,14.4542,
